regionCNC;N° auto;nom;region administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unite urbaine;population unite urbaine;situation geographique;ecrans;fauteuils;semaines d'activite;seances;entrees 2022;entrees 2021;evolution entrees;tranche d'entrees;programmateur;AE;categorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmes;nombre de films inedits;nombre de films en semaine 1;PdM en entrees des films français;PdM en entrees des films americains;PdM en entrees des films europeens;PdM en entrees des autres films;films Art et Essai;PdM en entrees des films Art et Essai;latitude;longitude;geolocalisation
7;294314;L EDEN;PROVENCE-ALPES-COTE D'AZUR;RUE DU 19 MARS;13066;Noves;5893.0;13;754;Avignon;470065.0;04-Unites urbaines de 100 000 hbts ou plus;1.0;161.0;44.0;175.0;3826.0;1914.0;99.89550679205851;De 2 à 5 000 entrees;;NON;NON;;FIXE;NON;B;161.0;125.0;1.0;72.03389830508475;13.559322033898304;10.278840896664844;4.127938764352105;78.0;35.4018589393111;43.875599;4.9035;43.875599, 4.9035
7;381260;CINEMA CASINO;PROVENCE-ALPES-COTE D'AZUR;ROUTE DE BANDOL;83112;Saint-Cyr-sur-Mer;12303.0;83;757;Toulon;598427.0;04-Unites urbaines de 100 000 hbts ou plus;1.0;110.0;53.0;1104.0;14039.0;10186.0;37.82642843118005;De 10 à 20 000 entrees;;NON;NON;;FIXE;NON;B;207.0;158.0;47.0;56.90083248137871;29.560391412297353;11.136264057251351;2.4025120490725866;97.0;27.3112311961443;43.19174;5.713725;43.19174, 5.713725
7;463723;LES LUMIERES;PROVENCE-ALPES-COTE D'AZUR;ARCADES DES CITEAUX;13117;Vitrolles;34814.0;13;759;Marseille - Aix-en-Provence;1630325.0;04-Unites urbaines de 100 000 hbts ou plus;3.0;393.0;53.0;2274.0;21128.0;10806.0;95.52100684804739;De 20 à 30 000 entrees;;OUI;C;RDJPPR;FIXE;NON;B;370.0;232.0;5.0;67.18406415728883;13.517009442504206;13.02548182641314;6.2734445737938165;256.0;67.73379899107489;43.447301;5.250042;43.447301, 5.250042
7;722760;PATHE;PROVENCE-ALPES-COTE D'AZUR;300 AVENUE DE L'UNIVERSITE;83144;La Valette-du-Var;24377.0;83;757;Toulon;598427.0;04-Unites urbaines de 100 000 hbts ou plus;16.0;3271.0;53.0;30098.0;967608.0;541196.0;78.79067842334386;De 700 000 à 1 million d'entrees;PATHE-GAUMONT;NON;NON;;FIXE;OUI;B;262.0;204.0;199.0;30.906933885722715;52.37636166822147;12.74176558218004;3.9749388638757703;58.0;4.599493458382765;43.137099;6.003711;43.137099, 6.003711
7;103985;CINEMATOGRAPHE SLE CHAPLIN;PROVENCE-ALPES-COTE D'AZUR;CENTRE CULTUREL SIMONE SIGNORET;4049;Château-Arnoux-Saint-Auban;5172.0;4;4203;Château-Arnoux-Saint-Auban;7172.0;06-autres communes et unites urbaines;3.0;465.0;53.0;4187.0;57365.0;32334.0;77.41386775530401;De 50 à 80 000 entrees;;OUI;E;RDJPPR;FIXE;NON;C;269.0;206.0;150.0;51.030880768458154;35.873555032049524;9.611205463942001;3.4843587355503205;155.0;28.720392994758853;44.068241;5.987231;44.068241, 5.987231
7;172743;LE CENTRE;PROVENCE-ALPES-COTE D'AZUR;20 BIS RUE DE L IMPRIMERIE;5061;Gap;41528.0;5;5401;Gap;42010.0;05-Unites urbaines de 20 000 à 100 000 hbts;1.0;274.0;53.0;1364.0;18965.0;10898.0;74.0227564690769;De 10 à 20 000 entrees;;NON;NON;;FIXE;NON;C;71.0;46.0;39.0;77.72355878347707;14.616432137993646;6.899682251475261;0.7603268270540172;51.0;63.68588288697231;44.559365;6.078993;44.559365, 6.078993
7;268972;MAISON POUR TOUS;PROVENCE-ALPES-COTE D'AZUR;ROND POINT DU 8 MAI;83081;Montauroux;6730.0;83;83205;Montauroux;10297.0;06-autres communes et unites urbaines;1.0;284.0;53.0;1095.0;21558.0;11717.0;83.9890757019715;De 20 à 30 000 entrees;;OUI;E;JP;FIXE;NON;C;243.0;204.0;6.0;49.44965152607546;32.021148762316756;13.400624849795722;5.128574861812065;116.0;33.37659216534487;43.618473;6.771904;43.618473, 6.771904
7;342900;CINEMA PAVILLON BLEU;PROVENCE-ALPES-COTE D'AZUR;RD 2085;6105;Roquefort-les-Pins;7476.0;6;6701;Nice;966577.0;04-Unites urbaines de 100 000 hbts ou plus;2.0;372.0;53.0;2111.0;32795.0;19010.0;72.51446607048922;De 30 à 40 000 entrees;;OUI;C;;FIXE;NON;B;293.0;233.0;41.0;53.30940864409425;30.965829302543295;9.84552972382587;5.879232329536589;154.0;34.16757684506163;43.665141;7.049995;43.665141, 7.049995
7;27833;PAGNOL;PROVENCE-ALPES-COTE D'AZUR;COURS FOCH;13005;Aubagne;47640.0;13;759;Marseille - Aix-en-Provence;1630325.0;04-Unites urbaines de 100 000 hbts ou plus;4.0;579.0;53.0;6305.0;78115.0;45805.0;70.53815085689334;De 50 à 80 000 entrees;;OUI;C;;FIXE;NON;B;195.0;166.0;155.0;58.06310816709029;25.715679478292124;12.268607666435596;3.952604688181981;75.0;20.879868546047394;43.293397;5.567708;43.293397, 5.567708
7;81080;SALLE MISTRAL;PROVENCE-ALPES-COTE D'AZUR;SALLE MISTRAL;6026;Cabris;1413.0;6;6701;Nice;966577.0;04-Unites urbaines de 100 000 hbts ou plus;1.0;250.0;49.0;338.0;8372.0;4684.0;78.73612297181896;De 5 à 10 000 entrees;PATHE-GAUMONT;NON;NON;;ITINERANT;NON;B;90.0;79.0;3.0;63.30917577693158;25.070630143716986;7.492936985628301;4.12725709372313;25.0;15.366662572165582;43.655944;6.87474;43.655944, 6.87474
